info: socket.io started
U: 90,	MR/S: 10907,	MS/S: 10907,	MR/S/U: 119.6,	MS/S/U: 119.6,	CPU: 65.3,	Mem: 1.0
U: 92,	MR/S: 10925,	MS/S: 10925,	MR/S/U: 117.2,	MS/S/U: 117.2,	CPU: 65.3,	Mem: 1.0
U: 94,	MR/S: 10908,	MS/S: 10908,	MR/S/U: 114.6,	MS/S/U: 114.6,	CPU: 65.3,	Mem: 1.0
U: 96,	MR/S: 10150,	MS/S: 10150,	MR/S/U: 103.8,	MS/S/U: 103.8,	CPU: 65.3,	Mem: 1.0
U: 98,	MR/S: 10608,	MS/S: 10608,	MR/S/U: 106.7,	MS/S/U: 106.7,	CPU: 65.3,	Mem: 1.0
U: 100,	MR/S: 11211,	MS/S: 11211,	MR/S/U: 110.6,	MS/S/U: 110.6,	CPU: 65.4,	Mem: 1.1
U: 102,	MR/S: 10797,	MS/S: 10797,	MR/S/U: 104.4,	MS/S/U: 104.4,	CPU: 65.4,	Mem: 1.1
U: 104,	MR/S: 10882,	MS/S: 10882,	MR/S/U: 103.2,	MS/S/U: 103.2,	CPU: 65.4,	Mem: 1.1
U: 106,	MR/S: 10955,	MS/S: 10955,	MR/S/U: 102.1,	MS/S/U: 102.1,	CPU: 65.4,	Mem: 1.1
U: 108,	MR/S: 10924,	MS/S: 10924,	MR/S/U: 99.8,	MS/S/U: 99.8,	CPU: 65.4,	Mem: 1.1
U: 110,	MR/S: 10791,	MS/S: 10791,	MR/S/U: 96.8,	MS/S/U: 96.8,	CPU: 65.4,	Mem: 1.1
U: 112,	MR/S: 10890,	MS/S: 10890,	MR/S/U: 96,	MS/S/U: 96,	CPU: 65.4,	Mem: 1.1
U: 114,	MR/S: 10908,	MS/S: 10908,	MR/S/U: 94,	MS/S/U: 94,	CPU: 65.4,	Mem: 1.1
U: 116,	MR/S: 10657,	MS/S: 10657,	MR/S/U: 90.6,	MS/S/U: 90.6,	CPU: 65.4,	Mem: 1.1
U: 118,	MR/S: 10923,	MS/S: 10923,	MR/S/U: 91.5,	MS/S/U: 91.5,	CPU: 65.4,	Mem: 1.1
U: 120,	MR/S: 10863,	MS/S: 10863,	MR/S/U: 89.3,	MS/S/U: 89.3,	CPU: 65.4,	Mem: 1.1
U: 122,	MR/S: 10701,	MS/S: 10701,	MR/S/U: 86.5,	MS/S/U: 86.5,	CPU: 65.4,	Mem: 1.2
U: 124,	MR/S: 10792,	MS/S: 10792,	MR/S/U: 86,	MS/S/U: 86,	CPU: 65.4,	Mem: 1.2
U: 126,	MR/S: 10742,	MS/S: 10742,	MR/S/U: 84.1,	MS/S/U: 84.1,	CPU: 65.4,	Mem: 1.2
U: 128,	MR/S: 10723,	MS/S: 10723,	MR/S/U: 82.6,	MS/S/U: 82.6,	CPU: 65.4,	Mem: 1.2
U: 130,	MR/S: 10758,	MS/S: 10758,	MR/S/U: 81.8,	MS/S/U: 81.8,	CPU: 65.4,	Mem: 1.2
U: 132,	MR/S: 10699,	MS/S: 10699,	MR/S/U: 79.9,	MS/S/U: 79.9,	CPU: 65.4,	Mem: 1.2
U: 134,	MR/S: 10638,	MS/S: 10638,	MR/S/U: 78.3,	MS/S/U: 78.3,	CPU: 65.4,	Mem: 1.2
U: 136,	MR/S: 10857,	MS/S: 10857,	MR/S/U: 78.8,	MS/S/U: 78.8,	CPU: 65.4,	Mem: 1.2
U: 138,	MR/S: 10591,	MS/S: 10591,	MR/S/U: 75.7,	MS/S/U: 75.7,	CPU: 65.4,	Mem: 1.2
U: 140,	MR/S: 10621,	MS/S: 10621,	MR/S/U: 74.9,	MS/S/U: 74.9,	CPU: 65.3,	Mem: 1.2
U: 142,	MR/S: 10691,	MS/S: 10691,	MR/S/U: 74.2,	MS/S/U: 74.2,	CPU: 65.4,	Mem: 1.3
U: 144,	MR/S: 10647,	MS/S: 10647,	MR/S/U: 72.9,	MS/S/U: 72.9,	CPU: 65.3,	Mem: 1.3
U: 146,	MR/S: 10777,	MS/S: 10777,	MR/S/U: 72.9,	MS/S/U: 72.9,	CPU: 65.3,	Mem: 1.3
U: 148,	MR/S: 10518,	MS/S: 10518,	MR/S/U: 70.3,	MS/S/U: 70.3,	CPU: 65.3,	Mem: 1.3
U: 150,	MR/S: 10571,	MS/S: 10571,	MR/S/U: 69.6,	MS/S/U: 69.6,	CPU: 65.3,	Mem: 1.3
U: 152,	MR/S: 10627,	MS/S: 10627,	MR/S/U: 68.8,	MS/S/U: 68.8,	CPU: 65.3,	Mem: 1.3
U: 154,	MR/S: 10502,	MS/S: 10502,	MR/S/U: 67.2,	MS/S/U: 67.2,	CPU: 65.3,	Mem: 1.3
U: 156,	MR/S: 10725,	MS/S: 10725,	MR/S/U: 67.9,	MS/S/U: 67.9,	CPU: 65.3,	Mem: 1.3
U: 158,	MR/S: 10481,	MS/S: 10481,	MR/S/U: 65.4,	MS/S/U: 65.4,	CPU: 65.3,	Mem: 1.3
U: 160,	MR/S: 10428,	MS/S: 10428,	MR/S/U: 64.3,	MS/S/U: 64.3,	CPU: 65.3,	Mem: 1.3
U: 162,	MR/S: 10551,	MS/S: 10551,	MR/S/U: 64.2,	MS/S/U: 64.2,	CPU: 65.3,	Mem: 1.4
U: 164,	MR/S: 10414,	MS/S: 10414,	MR/S/U: 62.6,	MS/S/U: 62.6,	CPU: 65.3,	Mem: 1.4
U: 166,	MR/S: 10713,	MS/S: 10713,	MR/S/U: 63.6,	MS/S/U: 63.6,	CPU: 65.3,	Mem: 1.4
U: 168,	MR/S: 10356,	MS/S: 10356,	MR/S/U: 60.7,	MS/S/U: 60.7,	CPU: 65.3,	Mem: 1.4
U: 170,	MR/S: 10552,	MS/S: 10552,	MR/S/U: 61.3,	MS/S/U: 61.3,	CPU: 65.3,	Mem: 1.4
U: 172,	MR/S: 10499,	MS/S: 10499,	MR/S/U: 60.4,	MS/S/U: 60.4,	CPU: 65.3,	Mem: 1.4
U: 174,	MR/S: 10374,	MS/S: 10374,	MR/S/U: 58.8,	MS/S/U: 58.8,	CPU: 65.3,	Mem: 1.4
U: 176,	MR/S: 10468,	MS/S: 10468,	MR/S/U: 58.6,	MS/S/U: 58.6,	CPU: 65.3,	Mem: 1.4
U: 178,	MR/S: 10427,	MS/S: 10427,	MR/S/U: 57.5,	MS/S/U: 57.5,	CPU: 65.3,	Mem: 1.4
U: 180,	MR/S: 10572,	MS/S: 10572,	MR/S/U: 57.9,	MS/S/U: 57.9,	CPU: 65.2,	Mem: 1.4
U: 182,	MR/S: 10220,	MS/S: 10220,	MR/S/U: 55.3,	MS/S/U: 55.3,	CPU: 65.2,	Mem: 1.5
U: 184,	MR/S: 10613,	MS/S: 10613,	MR/S/U: 56.9,	MS/S/U: 56.9,	CPU: 65.2,	Mem: 1.5
U: 186,	MR/S: 10322,	MS/S: 10322,	MR/S/U: 54.7,	MS/S/U: 54.7,	CPU: 65.2,	Mem: 1.5
U: 188,	MR/S: 10411,	MS/S: 10411,	MR/S/U: 54.7,	MS/S/U: 54.7,	CPU: 65.2,	Mem: 1.5
U: 190,	MR/S: 10242,	MS/S: 10242,	MR/S/U: 52.7,	MS/S/U: 52.7,	CPU: 65.2,	Mem: 1.5
U: 192,	MR/S: 10254,	MS/S: 10254,	MR/S/U: 52.4,	MS/S/U: 52.4,	CPU: 65.2,	Mem: 1.5
U: 194,	MR/S: 10095,	MS/S: 10095,	MR/S/U: 51.2,	MS/S/U: 51.2,	CPU: 65.2,	Mem: 1.5
U: 196,	MR/S: 10400,	MS/S: 10400,	MR/S/U: 52.4,	MS/S/U: 52.4,	CPU: 65.2,	Mem: 1.5
U: 198,	MR/S: 10061,	MS/S: 10061,	MR/S/U: 50,	MS/S/U: 50,	CPU: 65.2,	Mem: 1.5
U: 200,	MR/S: 10203,	MS/S: 10203,	MR/S/U: 50.3,	MS/S/U: 50.3,	CPU: 65.2,	Mem: 1.5
U: 202,	MR/S: 10241,	MS/S: 10241,	MR/S/U: 49.9,	MS/S/U: 49.9,	CPU: 65.2,	Mem: 1.5
U: 204,	MR/S: 10216,	MS/S: 10216,	MR/S/U: 49.4,	MS/S/U: 49.4,	CPU: 65.2,	Mem: 1.6
U: 206,	MR/S: 9425,	MS/S: 9425,	MR/S/U: 45,	MS/S/U: 45,	CPU: 65.2,	Mem: 1.6
U: 208,	MR/S: 9693,	MS/S: 9693,	MR/S/U: 45.9,	MS/S/U: 45.9,	CPU: 65.2,	Mem: 1.6
U: 210,	MR/S: 9388,	MS/S: 9388,	MR/S/U: 44.3,	MS/S/U: 44.3,	CPU: 65.2,	Mem: 1.6
U: 212,	MR/S: 10632,	MS/S: 10632,	MR/S/U: 49.4,	MS/S/U: 49.4,	CPU: 65.2,	Mem: 1.6
U: 214,	MR/S: 10220,	MS/S: 10220,	MR/S/U: 47,	MS/S/U: 47,	CPU: 65.2,	Mem: 1.6
U: 216,	MR/S: 9758,	MS/S: 9758,	MR/S/U: 44.4,	MS/S/U: 44.4,	CPU: 65.2,	Mem: 1.6
U: 218,	MR/S: 8751,	MS/S: 8751,	MR/S/U: 39.5,	MS/S/U: 39.5,	CPU: 65.2,	Mem: 1.6
U: 220,	MR/S: 9953,	MS/S: 9953,	MR/S/U: 44.2,	MS/S/U: 44.2,	CPU: 65.2,	Mem: 1.6
U: 222,	MR/S: 10128,	MS/S: 10128,	MR/S/U: 44.9,	MS/S/U: 44.9,	CPU: 65.2,	Mem: 1.6
U: 224,	MR/S: 9886,	MS/S: 9886,	MR/S/U: 43.4,	MS/S/U: 43.4,	CPU: 65.2,	Mem: 1.6
U: 226,	MR/S: 10290,	MS/S: 10290,	MR/S/U: 44.8,	MS/S/U: 44.8,	CPU: 65.2,	Mem: 1.6
U: 228,	MR/S: 10011,	MS/S: 10011,	MR/S/U: 43.3,	MS/S/U: 43.3,	CPU: 65.2,	Mem: 1.6
