info: socket.io started
U: 77,	MR/S: 11152,	MS/S: 11152,	MR/S/U: 142.9,	MS/S/U: 142.9,	CPU: 66.2,	Mem: 0.9
U: 79,	MR/S: 11254,	MS/S: 11254,	MR/S/U: 140.6,	MS/S/U: 140.6,	CPU: 66.3,	Mem: 1.0
U: 81,	MR/S: 11305,	MS/S: 11305,	MR/S/U: 137.8,	MS/S/U: 137.8,	CPU: 66.3,	Mem: 1.0
U: 83,	MR/S: 11137,	MS/S: 11137,	MR/S/U: 132.6,	MS/S/U: 132.6,	CPU: 66.4,	Mem: 1.0
U: 85,	MR/S: 11124,	MS/S: 11124,	MR/S/U: 129.1,	MS/S/U: 129.1,	CPU: 66.4,	Mem: 1.0
U: 87,	MR/S: 11366,	MS/S: 11366,	MR/S/U: 129.2,	MS/S/U: 129.2,	CPU: 66.5,	Mem: 1.0
U: 89,	MR/S: 9819,	MS/S: 9819,	MR/S/U: 108.6,	MS/S/U: 108.6,	CPU: 66.6,	Mem: 1.0
U: 91,	MR/S: 10913,	MS/S: 10913,	MR/S/U: 118.5,	MS/S/U: 118.5,	CPU: 66.7,	Mem: 1.0
U: 93,	MR/S: 11340,	MS/S: 11340,	MR/S/U: 120.3,	MS/S/U: 120.3,	CPU: 66.8,	Mem: 1.0
U: 95,	MR/S: 10601,	MS/S: 10601,	MR/S/U: 109.9,	MS/S/U: 109.9,	CPU: 66.8,	Mem: 1.0
U: 97,	MR/S: 10693,	MS/S: 10693,	MR/S/U: 108.7,	MS/S/U: 108.7,	CPU: 66.9,	Mem: 1.0
U: 99,	MR/S: 10847,	MS/S: 10847,	MR/S/U: 108.3,	MS/S/U: 108.3,	CPU: 67.0,	Mem: 1.1
U: 101,	MR/S: 11090,	MS/S: 11090,	MR/S/U: 108.3,	MS/S/U: 108.3,	CPU: 67.0,	Mem: 1.1
U: 103,	MR/S: 10880,	MS/S: 10880,	MR/S/U: 104.2,	MS/S/U: 104.2,	CPU: 67.1,	Mem: 1.1
U: 105,	MR/S: 11025,	MS/S: 11025,	MR/S/U: 103.6,	MS/S/U: 103.6,	CPU: 67.1,	Mem: 1.1
U: 107,	MR/S: 10154,	MS/S: 10154,	MR/S/U: 93.6,	MS/S/U: 93.6,	CPU: 67.2,	Mem: 1.1
U: 109,	MR/S: 10953,	MS/S: 10953,	MR/S/U: 99,	MS/S/U: 99,	CPU: 67.3,	Mem: 1.1
U: 111,	MR/S: 10893,	MS/S: 10893,	MR/S/U: 96.8,	MS/S/U: 96.8,	CPU: 67.3,	Mem: 1.1
U: 113,	MR/S: 10748,	MS/S: 10748,	MR/S/U: 93.8,	MS/S/U: 93.8,	CPU: 67.3,	Mem: 1.1
U: 115,	MR/S: 11213,	MS/S: 11213,	MR/S/U: 96.2,	MS/S/U: 96.2,	CPU: 67.3,	Mem: 1.1
U: 117,	MR/S: 11033,	MS/S: 11033,	MR/S/U: 92.9,	MS/S/U: 92.9,	CPU: 67.4,	Mem: 1.1
U: 119,	MR/S: 11095,	MS/S: 11095,	MR/S/U: 91.9,	MS/S/U: 91.9,	CPU: 67.4,	Mem: 1.1
U: 121,	MR/S: 10923,	MS/S: 10923,	MR/S/U: 89.3,	MS/S/U: 89.3,	CPU: 67.5,	Mem: 1.2
U: 123,	MR/S: 10090,	MS/S: 10090,	MR/S/U: 80.8,	MS/S/U: 80.8,	CPU: 67.5,	Mem: 1.2
U: 125,	MR/S: 10672,	MS/S: 10672,	MR/S/U: 84.2,	MS/S/U: 84.2,	CPU: 67.5,	Mem: 1.2
U: 127,	MR/S: 11060,	MS/S: 11060,	MR/S/U: 85.9,	MS/S/U: 85.9,	CPU: 67.5,	Mem: 1.2
U: 129,	MR/S: 10609,	MS/S: 10609,	MR/S/U: 81.1,	MS/S/U: 81.1,	CPU: 67.5,	Mem: 1.2
U: 131,	MR/S: 10013,	MS/S: 10013,	MR/S/U: 75,	MS/S/U: 75,	CPU: 67.5,	Mem: 1.2
U: 133,	MR/S: 10863,	MS/S: 10863,	MR/S/U: 80.5,	MS/S/U: 80.5,	CPU: 67.6,	Mem: 1.2
U: 135,	MR/S: 10622,	MS/S: 10622,	MR/S/U: 77.6,	MS/S/U: 77.6,	CPU: 67.5,	Mem: 1.2
U: 137,	MR/S: 10417,	MS/S: 10417,	MR/S/U: 75.2,	MS/S/U: 75.2,	CPU: 67.6,	Mem: 1.2
U: 139,	MR/S: 10424,	MS/S: 10424,	MR/S/U: 73.9,	MS/S/U: 73.9,	CPU: 67.6,	Mem: 1.2
U: 141,	MR/S: 8917,	MS/S: 8917,	MR/S/U: 62.2,	MS/S/U: 62.2,	CPU: 67.7,	Mem: 1.2
U: 143,	MR/S: 10506,	MS/S: 10506,	MR/S/U: 72.4,	MS/S/U: 72.4,	CPU: 67.7,	Mem: 1.3
U: 145,	MR/S: 10697,	MS/S: 10697,	MR/S/U: 72.9,	MS/S/U: 72.9,	CPU: 67.7,	Mem: 1.3
U: 147,	MR/S: 10809,	MS/S: 10809,	MR/S/U: 72.5,	MS/S/U: 72.5,	CPU: 67.7,	Mem: 1.3
U: 149,	MR/S: 10633,	MS/S: 10633,	MR/S/U: 70.3,	MS/S/U: 70.3,	CPU: 67.6,	Mem: 1.3
U: 151,	MR/S: 10754,	MS/S: 10754,	MR/S/U: 70.6,	MS/S/U: 70.6,	CPU: 67.6,	Mem: 1.3
U: 153,	MR/S: 10617,	MS/S: 10617,	MR/S/U: 68.4,	MS/S/U: 68.4,	CPU: 67.6,	Mem: 1.3
U: 155,	MR/S: 10510,	MS/S: 10510,	MR/S/U: 67,	MS/S/U: 67,	CPU: 67.6,	Mem: 1.3
U: 157,	MR/S: 10849,	MS/S: 10849,	MR/S/U: 68.1,	MS/S/U: 68.1,	CPU: 67.6,	Mem: 1.3
U: 159,	MR/S: 10388,	MS/S: 10388,	MR/S/U: 64.4,	MS/S/U: 64.4,	CPU: 67.6,	Mem: 1.3
U: 161,	MR/S: 10905,	MS/S: 10905,	MR/S/U: 66.9,	MS/S/U: 66.9,	CPU: 67.6,	Mem: 1.3
U: 163,	MR/S: 9971,	MS/S: 9971,	MR/S/U: 60.2,	MS/S/U: 60.2,	CPU: 67.7,	Mem: 1.4
U: 165,	MR/S: 10741,	MS/S: 10741,	MR/S/U: 64.1,	MS/S/U: 64.1,	CPU: 67.7,	Mem: 1.4
U: 167,	MR/S: 10710,	MS/S: 10710,	MR/S/U: 63.2,	MS/S/U: 63.2,	CPU: 67.7,	Mem: 1.4
U: 169,	MR/S: 10336,	MS/S: 10336,	MR/S/U: 60.4,	MS/S/U: 60.4,	CPU: 67.7,	Mem: 1.4
U: 171,	MR/S: 10778,	MS/S: 10778,	MR/S/U: 62.1,	MS/S/U: 62.1,	CPU: 67.7,	Mem: 1.4
U: 173,	MR/S: 10117,	MS/S: 10117,	MR/S/U: 57.5,	MS/S/U: 57.5,	CPU: 67.7,	Mem: 1.4
U: 175,	MR/S: 10720,	MS/S: 10720,	MR/S/U: 60.5,	MS/S/U: 60.5,	CPU: 67.7,	Mem: 1.4
U: 177,	MR/S: 10581,	MS/S: 10581,	MR/S/U: 58.9,	MS/S/U: 58.9,	CPU: 67.7,	Mem: 1.4
U: 179,	MR/S: 10166,	MS/S: 10166,	MR/S/U: 56,	MS/S/U: 56,	CPU: 67.7,	Mem: 1.4
U: 181,	MR/S: 10690,	MS/S: 10690,	MR/S/U: 58.2,	MS/S/U: 58.2,	CPU: 67.7,	Mem: 1.4
U: 183,	MR/S: 10477,	MS/S: 10477,	MR/S/U: 56.4,	MS/S/U: 56.4,	CPU: 67.7,	Mem: 1.5
U: 185,	MR/S: 10856,	MS/S: 10856,	MR/S/U: 57.6,	MS/S/U: 57.6,	CPU: 67.7,	Mem: 1.5
U: 187,	MR/S: 10438,	MS/S: 10438,	MR/S/U: 55,	MS/S/U: 55,	CPU: 67.7,	Mem: 1.5
U: 189,	MR/S: 10579,	MS/S: 10579,	MR/S/U: 55.1,	MS/S/U: 55.1,	CPU: 67.7,	Mem: 1.5
U: 191,	MR/S: 10802,	MS/S: 10802,	MR/S/U: 55.7,	MS/S/U: 55.7,	CPU: 67.7,	Mem: 1.5
U: 193,	MR/S: 10601,	MS/S: 10601,	MR/S/U: 54.1,	MS/S/U: 54.1,	CPU: 67.7,	Mem: 1.5
U: 195,	MR/S: 10694,	MS/S: 10694,	MR/S/U: 54.1,	MS/S/U: 54.1,	CPU: 67.7,	Mem: 1.5
U: 197,	MR/S: 10670,	MS/S: 10670,	MR/S/U: 53.4,	MS/S/U: 53.4,	CPU: 67.7,	Mem: 1.5
U: 199,	MR/S: 10567,	MS/S: 10567,	MR/S/U: 52.7,	MS/S/U: 52.7,	CPU: 67.6,	Mem: 1.5
U: 201,	MR/S: 10823,	MS/S: 10823,	MR/S/U: 53,	MS/S/U: 53,	CPU: 67.7,	Mem: 1.5
U: 203,	MR/S: 10465,	MS/S: 10465,	MR/S/U: 50.8,	MS/S/U: 50.8,	CPU: 67.6,	Mem: 1.5
U: 205,	MR/S: 10780,	MS/S: 10780,	MR/S/U: 51.8,	MS/S/U: 51.8,	CPU: 67.6,	Mem: 1.6
U: 207,	MR/S: 10487,	MS/S: 10487,	MR/S/U: 49.9,	MS/S/U: 49.9,	CPU: 67.6,	Mem: 1.6
U: 209,	MR/S: 10731,	MS/S: 10731,	MR/S/U: 50.7,	MS/S/U: 50.7,	CPU: 67.6,	Mem: 1.6
U: 211,	MR/S: 10540,	MS/S: 10540,	MR/S/U: 49.3,	MS/S/U: 49.3,	CPU: 67.6,	Mem: 1.6
U: 213,	MR/S: 10520,	MS/S: 10520,	MR/S/U: 48.7,	MS/S/U: 48.7,	CPU: 67.6,	Mem: 1.6
U: 215,	MR/S: 10602,	MS/S: 10602,	MR/S/U: 48.5,	MS/S/U: 48.5,	CPU: 67.6,	Mem: 1.6
U: 217,	MR/S: 10466,	MS/S: 10466,	MR/S/U: 47.6,	MS/S/U: 47.6,	CPU: 67.6,	Mem: 1.6
U: 219,	MR/S: 10673,	MS/S: 10673,	MR/S/U: 47.7,	MS/S/U: 47.7,	CPU: 67.6,	Mem: 1.6
U: 221,	MR/S: 10207,	MS/S: 10207,	MR/S/U: 45.8,	MS/S/U: 45.8,	CPU: 67.6,	Mem: 1.6
U: 223,	MR/S: 10659,	MS/S: 10659,	MR/S/U: 47.1,	MS/S/U: 47.1,	CPU: 67.6,	Mem: 1.6
U: 225,	MR/S: 10365,	MS/S: 10365,	MR/S/U: 45.3,	MS/S/U: 45.3,	CPU: 67.6,	Mem: 1.6
U: 227,	MR/S: 10344,	MS/S: 10344,	MR/S/U: 44.9,	MS/S/U: 44.9,	CPU: 67.6,	Mem: 1.7
